Topics,Sub-topics,Description,Tip Type
Basic Camera Shots,Angle of view,"Shots are usually defined by how much of the scene you show in your frame (what you see in your viewfinder). This can be controlled a couple of different ways.  One would be to change the distance between the camera and your subject by physically moving the camera closer or farther away. The other would be to change the focal length of your lens, which controls the angle of view. A zoom lens, which virtually all camcorders have, is a combination wide angle, normal and telephoto lens. You change the angle of view by zooming in to a narrow angle of view (telephoto) or zooming out to a wide angle of view.",Film Tip
Basic Camera Shots,Close-up,"A close-up focuses your viewer's attention on specific details. It demands that the viewer concentrate on the information you are giving them. In storytelling, close-ups have great emotional impact.  They can also be used to give the audience information the characters in your video don't have. For example, showing a close-up of a sign reading 'wet paint', right before a medium shot of your character in the process of sitting down on a painted park bench, would build anticipation and set up the audience for the laugh. 
You will most likely need to use a camera support, like a tripod, in order to get a steady shot. Check out the camera-handling section. 

A close-up of a person would frame the subject from the top of the head to the top of the shoulders. Human emotions are best revealed in close-ups!",Film Tip
Basic Camera Shots,Close-up of faces,A close-up of a person would frame the subject from the top of the head to the top of the shoulders. Human emotions are best revealed in close-ups!,Film Tip
Basic Camera Shots,Establishing Shot,Long shots are also referred to as wide shots or establishing shots. An establishing shot establishes the subject's location for your viewers by revealing its surrounding. It might also be used to cover broad action involving several people in a large area.,Film Tip
Basic Camera Shots,Extreme close-up,"An extreme close-up shot frames only a portion of your subject. It is a very dramatic shot that can generate great visual excitement.  XCUs might be used to show the face of a wristwatch or words being typed on a computer screen. Like the long shot, extreme close-ups should be used sparingly, when it is important that your viewers see great detail. In most instances you'll want to choose a wide-angle lens setting (zoomed all the way out) and move the camera lens as close to the subject as necessary. Use of a camera support, like a tripod, is a must. Check out the camera-handling section.

An extreme close-up of a person's face would detail the eyes, nose and mouth.  When framing an extreme close-up of a face, be sure to include the chin and sacrifice the forehead. The reason for this has to do with how our imaginations fill in spaces we can't actually see on the screen, using something called psychological closure. When framing human subjects, proper closure can be achieved by avoiding putting natural cutoff lines of persons at the bottom of your frame. Instead, frame your shots to include the area slightly above or below these natural body joints. Your shot will look awkward if you don't supply enough visual information for your viewers to project what lies outside the frame. 

Television has been described as a close-up medium.  That's because most TV sets have a diagonal measurement of 32 inches or less.  Images that appear small on the screen get lost.  Shoot mostly medium shots, with a generous supply of close-ups to keep the audience engaged.",Edit Tip
Basic Camera Shots,Long Shot,"A long shot frames a wide field of view of your subject and its surroundings. It usually requires a greater distance between your camera and your subject. Most likely you would choose a wide-angle lens setting (zoomed out). 

Long shots are also referred to as wide shots or establishing shots. An establishing shot establishes the subject's location for your viewers by revealing its surrounding. It might also be used to cover broad action involving several people in a large area. 

Use long shots sparingly!  Details are lost in long shots. Overuse of long shots is boring.",Film Tip
Basic Camera Shots,Medium Shot,"A medium shot frames more of your subject while still revealing some of the background. If your subject is a person, a medium shot would show the person from about the waist up. 

Medium shots provide more detail than long shots, which makes them more interesting to your viewer.
",Film Tip
Basic Camera Shots,Natural cutoff lines,"When framing shots of people, don't forget to avoid placing the edge of your frame at one of the body's natural cutoff lines: neck, elbows, waist, knees and ankles.",Edit Tip
Basic Camera Shots,Zooming In,You change the angle of view by zooming in to a narrow angle of view (telephoto)  See 'close-up',Film Tip
Basic Camera Shots,Zooming Out,Zooming out to a wide angle of view.  See 'Long Shot'.,Film Tip
Visual Composition rules,Distracting Backgrounds,"Most of your shots will include background elements that are part of the location where you're shooting.  Make sure what's in the background of your shot doesn't draw your viewer's attention from your main subject. We've all seen live TV interviews, shot on location, where somebody in the background is waving or making faces at the camera.  This is one type of distracting background you need to try to avoid.  Always check what's in the background of the shot you are framing.  Background clutter or distracting objects, like an overflowing garbage bin, can usually be avoided by repositioning your camera  (moving it left or right, framing a tighter shot, changing the camera angle) or moving your subject. You might also be able to put the background out of focus by decreasing the depth of field in your shot. See the screen depth section for more information on controlling depth of field.",Film Tip
Visual Composition rules,Headroom,"Headroom refers to the amount of space between the top of a person's head and the top of your frame. Too much headroom makes the person appear to be sinking. Most novice photographers and videographers will frame shots of people with too much headroom. Take a look through some old family photos if you don't believe me.

Too little headroom places visual emphasis on the person's chin and neck. When framing shots of people, pay attention to where the eyes appear.  Follow the rule of thirds and place the subject's eyes on the upper third line, 

Reminder: When framing shots of people, don't forget to avoid placing the edge of your frame at one of the body's natural cutoff lines: neck, elbows, waist, knees and ankles.",Edit Tip
Visual Composition rules,Lead Space,"Lead space refers to space in front of your subject. Leave extra space in the direction your subject is looking. You might also see this space referred to as look space or nose room. Leave extra space in front of a moving person or object, like a runner, bicycle, or automobile when following the action. Not doing so will make it look like your subject is in danger of running into the edge of your frame!",Film Tip
Visual Composition rules,Mergers,"Mergers are another form of distracting background.  Background objects or strong vectors that visually merge with your subject can not only be distracting, they can be down right humorous. Again, reposition the camera or the subject to avoid mergers. ",Film Tip
Visual Composition rules,Rule of Thirds,"An offshoot of those artistic rules, used in still photography and video, is called the rule of thirds. The rule of thirds states that you should mentally divide the frame (what you see in the viewfinder) into thirds, both vertically and horizontally. What you get is like a tic-tac-toe board overlaying your screen. When you shoot your video, according to this rule, you should place your key subject elements along those lines. Where the lines intersect will be the best place for your subject. That means that centering your subject in the frame will create a less interesting composition.

In most cases you will have control over where you are with your camera. When framing your subject, move the camera so that the prominent subject elements fall along one of the third lines, preferably at a point where those lines intersect. If you can't move the camera to a good spot, try to move the subject (kind of tough if you're shooting a mountain!) 

A case in point would be the placement of the horizon line in an outdoor shot. Don't center the horizon on your screen. Place the horizon on either the top or bottom third line. Which one will depend upon your subject.  If you're shooting a sailboat on the ocean, do you want to show more of the ocean or more of the sky? That would be your artistic choice! Which one looks the best to you?

The point is to take control of the situation and try to frame the most appealing shot. Don't just accept whatever happens to appear in your viewfinder! ",Film Tip
Camera Movement,Arc,An arc shot is created by shooting while moving in a semicircle around your subject.  This shot has become common on TV dramas. You need to have good control of your camera to perform it smoothly.,Film Tip
Camera Movement,Following action,Don't try to follow action with the camera zoomed in. You'll quickly make you audience seasick.,Film Tip
Camera Movement,Pan,"A pan is the horizontal pivoting of the camera from a fixed point, left to right or right to left.  It is used to follow screen action or to reveal more of a location without zooming or repositioning the camera. It is a shot that is abused and overused by many beginning videographers. It might be used as an establishing shot, to follow a moving subject, or to reveal the relationship of one subject to another. A pan shot should have a beginning, middle, and end. Once started, a pan should continue smoothly in one direction, at the same rate of speed, until coming to a smooth stop on a well composed shot. Keep the camera recording as you hold it still at the end of your pan. You've chosen to lead your viewers to this shot by panning to it, so give them a chance to see what it is they were led to. You can always choose to cut the shot off when editing.  Generally speaking, don't string multiple pan shots together or pan one way and then back the other way. 

Pan tip #1: Move the camera slowly when panning. Most novices tend to pan much too fast.  The rate of your pan should match the pace of the scene you are shooting for. A very fast pan, often called a swish pan, can sometimes be used as a transition between scenes to signal a change of location and time.

Pan tip #2: Have a good reason for choosing to use a pan. Most of the time a pan can be replaced by multiple stationary shots with a more satisfying result.  Don't use pans because you are too lazy to shoot sequences!

Pan tip #3: Hold the camera still for a few seconds at the start of the pan as well as at the end. 

Pan tip #4: Practice the pan shot before recording it, making sure you know where to end the shot.  If you're going to be editing your footage you can always just record the shot again and use the best take for your edited program.",Edit Tip
Camera Movement,Pedestal,"A pedestal shot is the vertical or up and down movement of the camera, without changing the camera angle. ",Film Tip
Camera Movement,Tilt,"A tilt occurs when you pivot your camera up or down from a fixed position. As with the pan, a tilt should start and end with a stationary shot that is held for a few seconds. The same tips described in the pan section apply to tilts as well.",Film Tip
Camera Movement,Tracking - Dolly,"A dolly shot is performed by moving the camera toward or away from a subject. The effect can be vastly different than leaving the camera in a stationary position and zooming. A dolly shot has the effect of bringing your viewer closer to or farther away from the subject, while zooming reduces or magnifies the subject and the field of view.",Edit Tip
